,Review,Thema1,Thema2,Thema3,Thema4
0,classic clog make vietnam great wear year make mexico one wearable wide arch support waste money since order online cant assure get vietnamese v mexican crocs find different brand good quality control,0.31992567636099867,-0.1628708052574883,-0.17430919530982153,-0.01326853977245088
1,two size small tell refund get email next day say refund,0.21351514894359755,0.08950212501712083,-0.03630876235091095,0.0008658366657061725
2,lot small pair size go mall croc store try size buy fit good,0.4839445451192398,0.24086238056505804,-0.06424765979059666,-0.05685663844648116
3,adult crocs wide true size size,0.41201963914674383,0.2511808125392784,-0.04222053009342398,0.059154224170101924
4, day clasp connect strap shoe unclipped stay look look like make correctly miss plastic hold strap shoe end crazy glue hold,0.21398473673197374,-0.324815776482111,0.015785906195298675,-0.0191488739794308
5,backordered situation color hot pink hot pink crocs arrive defective right shoe strap oversized floppy fit heel like leave croc need return crocs rather exchange color never stock disappoint excite receive zappos box,0.31120650440598097,-0.28114581791342574,0.24162543788272878,-0.1543053621002625
6,first wear start look wear excessively,0.1673471286644578,-0.19556135861785895,-0.055952971191074084,0.012818186661505263
7,many pair year quality late seem hit miss size fluctuate bump inside shoe get irritate new pair,0.32748682158009224,-0.06641065962263126,-0.18654598328126515,-0.06904661587109005
8,try pair store sure fit order w mineral blue orange sorbet mineral blue come fit absolutely perfectly theyre super comfortable feel great orange sorbet new color completely different long wide thick boxier visually feel fit completely different feel like different densitycushiness crocs know love additionally inside different texture  smooth feel like itll cause blister little nub small subtle much le comfy wish crocs cover return ship order website hop consistency either defective new color way different much bad,0.3692282158565017,-0.2165750390690028,0.14213563383482672,-0.12892431277681735
9,ala alack order due nurse swear best thing ever wayy big size  foot felt like kid wear parent shoe put heavy winter sock since return,0.3875213959916527,-0.1455076901725574,0.11581182612839688,0.3117533499411342
10,arrive week late scuff front,0.03518085974985044,-0.05728681166626762,-0.02137331773948235,-0.026490160852215575
11,arrive quickly good condition ship good disappoint fit order woman size  receive unisex  far wide wear comfortably give need make sure select woman size still get unisex mw nowhere description indicate size anything woman felt bite dupe,0.4157724210123309,0.08101676247163708,-0.02273141506661326,0.045400182382235095
12,least  size small seem make pair buy  year,0.36723633164408864,0.1493745472027952,-0.1407871703780102,-0.14231923363896753
13,bad fit need get different size cannot navagate try day please help need return,0.286658920262758,-0.016538228381884727,0.05932838246533956,0.2174258735071191
14,buy crocs year problem however last pair break strap within week purchase disappoint hope trend,0.24367581812041986,-0.19507739806148633,-0.19170725375876424,-0.18582898871867348
15,beware clog shrink full half inch wear hour one day mistakenly wear one size buy go put next day could hardly get small size compare two shoe size one wear one wear find one id wear shrink half inch see photo theyre woman size ,0.421093384793072,0.07224216690843555,-0.1521079846398898,0.047073254342816694
16,say size one big first time ever bad experience company,0.24104195513628263,0.06565018367191262,0.029540576945291004,0.10111994203761888
