,Thema1,Thema2,Thema3,Thema4
always,0.03685231705240544,-0.008336532679691597,-0.010239153277421822,-0.03736123856760108
arch,0.016070506569376586,-0.028578046962374093,-0.025825268608042684,0.022350301877168854
arrive,0.02227594443758654,-0.031496050274733234,-0.009722478467152906,-0.020751466823287545
back,0.06335153196961411,-0.061157384737149934,-0.007362357644022266,-0.019424054807921802
bad,0.018899995200152918,-0.014857954706144802,-0.01057320507095133,0.005182563166273191
big,0.16880508651494022,0.05554554600297094,0.26566501475984083,0.40894102463412907
black,0.03456255760283007,-0.021383637098754172,0.04738471802989182,-0.04510731301433718
blister,0.01997666241050582,-0.04361117821219378,-0.035508204308292414,0.021177986787872013
blue,0.022919987741895156,-0.049689961131616944,0.10313449310114622,-0.06954937974980757
bottom,0.023332545852041902,-0.013932747732489984,-0.013025118566797991,0.006884963156867591
box,0.01758648199299341,-0.028593282655488512,-0.008782380529290977,0.004530703013206047
break,0.02412181578397766,-0.0868438910767281,-0.07647903626454948,-0.03130775893151899
buy,0.1432150003901453,-0.038823779968137774,1.5744733088828076e-05,-0.09197066942938954
cant,0.039518086230836864,-0.03708089083336463,0.02696287641607135,0.05239784058217272
change,0.040917756601100676,-0.024108670444593513,-0.024778299550852378,0.008564427009703777
china,0.022912156281405496,-0.011288264602744394,-0.03488777192488691,-0.03331259711795893
classic,0.04907195107654918,-0.0075643259165729965,-0.05052008005542695,-0.030526721828953576
clog,0.08058844471901948,0.002647573926667659,-0.025150013317325588,0.004827358812594447
color,0.126255294699663,-0.21452618895207998,0.5903381946424477,-0.3681952886545584
come,0.061594004090888846,-0.030802309984977645,0.04050297939521298,0.03746177997679319
comfortable,0.05066999916004387,-0.10663845436115735,-0.08321493712109265,0.04149171902195368
company,0.023606802960901885,-0.008050692865729302,-0.018876842658342635,0.005306421337884594
could,0.030924155661715004,-0.03951132524434243,-0.027768270708971126,0.05286272526786023
croc,0.03591237968948409,-0.02185391535624178,0.01502958349626235,0.003829800033731904
crocs,0.26275604225667853,-0.18872967340564525,-0.20597937891583595,-0.19854379225442992
customer,0.037318230828301435,-0.03054634735952514,-0.03432380746870776,-0.01698262821694467
day,0.03907258890534532,-0.0676643844853042,-0.049131332220891846,-0.0031766474210670826
different,0.07585054483203392,-0.021516046263983887,-0.0014761345492298964,-0.040134839270090095
disappoint,0.09054865975211043,-0.06664120809374796,0.020366290411382115,-0.17138116701373984
end,0.020126951658126356,-0.018462003864375874,-0.006052302879995536,-0.003277881304330581
exchange,0.03696457258244468,0.006454320329236382,0.012635989898850604,0.02232811055357336
expect,0.018687912149330133,-0.033989452054453015,0.041084692255559815,-0.02009556549675867
feel,0.03805060090433843,-0.0491163646958465,0.028111442484584068,-0.04323136555612132
felt,0.03913595185500758,-0.01132653865630974,-0.01226873265361009,0.008683832523255783
find,0.023508060168504166,-8.195310015384024e-05,-0.01968704379462277,0.0015189295421968443
fine,0.026383746155255662,-0.016704848469232692,-0.011808876126435299,0.0021054413264293753
first,0.0371135543144104,-0.05587961532736274,-0.011718949763477435,-0.035560552910979086
fit,0.18605118758598346,-0.012013831631499267,-0.043743064120302336,0.04441791747003859
