id,review,date,rating
croc_review_0,!!!!!! E X C E L L E N T!!!!!!!!!!,"April 7, 2022",5.0
croc_review_1,"""They're crocs; people know what crocs are.""","April 3, 2021",5.0
croc_review_2,"- Quick delivery and the product arrived when the company said it would. - First pair of Crocs, and they fit perfectly.","March 19, 2023",5.0
croc_review_3,"...amazing ""new"" color!! who knew?? love - love - love it.","July 17, 2022",5.0
croc_review_4,0 complaints from me; this is the 8th pair of crocs I've bought in like two months of discovering crocs.,"June 4, 2021",5.0
croc_review_5,"10/10 I ran from the cops in mine, and they are still in perfect condition, didn't fall off! I def recommend them!","July 2, 2023",5.0
croc_review_7080,The 11 year old granddaughter loves them!!!!!!,"August 7, 2022",5.0
croc_review_7081,The 11 yr old daughter loves them.,"August 7, 2022",5.0
croc_review_6,"12M classic clogs made in Vietnam are great, and I've worn them for years. Not so with the made in Mexico ones. Not wearable, too wide, no arch support, and a waste of money. Since I order online and can't be assured of getting Vietnamese vs Mexican Crocs, I will find a different brand with better quality control.","April 25, 2023",1.0
croc_review_5609,My 13 year old grandson chose this color and loves it.,"March 13, 2023",5.0
croc_review_7,1st pair ever and feels like walking on air!!!!,"March 28, 2021",5.0
croc_review_8,1st pair ever. They make a great kayaking shoe.,"July 10, 2021",5.0
croc_review_2126,I enjoyed them so much that I already got a 2nd pair.,"April 9, 2022",5.0
croc_review_9,2 out of 3 are great..one I may return.,"September 11, 2021",4.0
croc_review_8686,"Two sizes too small, and I was told I would be refunded, and then I got an email the next day saying no refund.","May 17, 2021",1.0
croc_review_7490,The second pair for my daughter; she loves them.,"May 19, 2021",5.0
croc_review_7492,The second pair to own. Perfect for long drives.,"August 13, 2021",5.0
croc_review_8639,Three pairs of my three sons- they love them!!!!!,"September 14, 2021",5.0
croc_review_10,56 yo and just purchased my first pair! Love them and all the fun charms! Very comfortable!!,"September 27, 2022",5.0
